position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs,year
T37,"Thomas, Justin",-1,0.0,-0.885,0.166,1.686,-0.189,1.664,0.779,294.07368421052627,0.4464275,0.6805574999999999,30.65626363636364,53.23318095238095,0.6296307407407407,3.25,2.5,1.497,2020
T37,"Henley, Russell",-1,-2.0,-1.064,0.405,1.777,-0.339,1.843,0.779,284.15,0.5,0.6666675,27.809254,58.304,0.7500010714285714,2.0,3.25,1.438,2020
T37,"Cauley, Bud",-1,-1.0,-0.446,1.255,0.005,-0.036,1.224,0.779,286.3,0.4821425,0.63889,33.197025454545454,66.22146666666666,0.5357157142857143,3.0,2.0,-0.031,2020
T37,"Simpson, Webb",-1,2.0,0.403,0.711,-0.311,-0.025,0.375,0.779,286.7,0.5178575,0.6250025,32.73260576923077,68.3738,0.65517,2.5,1.75,-0.336,2020
T37,"Lashley, Nate",-1,0.0,0.444,0.307,0.499,-0.471,0.335,0.779,282.9,0.5178575,0.6388875,30.682401923076924,60.36328,0.6896558620689656,2.75,2.25,0.028,2020
T37,"Woods, Tiger",-1,-3.0,-0.015,0.06,0.641,0.093,0.794,0.779,291.725,0.5178575,0.6250025,30.619757777777775,57.722910526315786,0.5555547222222222,3.75,2.5,0.734,2020
T43,"Smith, Cameron",0,0.0,0.222,0.142,0.47,-0.305,0.307,0.529,289.325,0.464285,0.6805574999999999,32.10837391304348,64.57932631578947,0.6451622580645161,2.75,1.75,0.165,2020
T43,"Ancer, Abraham",0,-1.0,0.244,-0.661,0.236,0.709,0.285,0.529,290.675,0.5892875,0.6388900000000001,33.230768,46.90290769230769,0.5588223529411765,1.25,2.25,0.945,2020
T43,"Palmer, Ryan",0,-6.0,-0.028,-0.112,1.186,-0.517,0.557,0.529,286.1017543859649,0.35714,0.5972225,30.42431632653061,67.66052105263157,0.6451632258064516,4.75,4.25,0.669,2020
T43,"Horschel, Billy",0,-1.0,0.632,-0.612,0.658,-0.15,-0.104,0.529,287.5385964912281,0.6250025,0.6250025,29.584471153846152,57.34634615384616,0.5806448387096774,3.5,3.0,0.508,2020
T43,"Cantlay, Patrick",0,3.0,0.187,-0.218,0.099,0.461,0.341,0.529,297.025,0.4464275,0.597225,34.13959761904762,47.1417,0.6410276923076923,2.5,3.25,0.56,2020
T43,"Mitchell, Keith",0,2.0,-0.39,-0.175,0.236,0.857,0.919,0.529,299.575,0.5535725,0.6805575,28.11250181818182,75.32728182,0.5517227586206896,3.0,3.25,1.093,2020
T43,"Wiesberger, Bernd",0,4.0,-1.382,1.135,0.713,0.062,1.911,0.529,285.275,0.5714275,0.6250025,30.921769387755106,55.4877,0.5806477419354839,4.75,4.5,0.776,2020
T43,"Lorenzo-Vera, Michael",0,4.0,0.967,-0.066,0.068,-0.441,-0.439,0.529,288.525,0.42857,0.5972225,34.09709361702127,57.072100000000006,0.5428582857142856,4.75,4.25,-0.373,2020
T51,"Hubbard, Mark",1,0.0,0.083,-0.27,0.975,-0.509,0.196,0.279,279.375,0.5,0.6111125000000001,34.174216666666666,52.78074210526316,0.6250018749999999,2.5,2.5,0.466,2020
T51,"List, Luke",1,0.0,-1.869,0.405,1.36,0.382,2.148,0.279,305.7280701754386,0.5,0.7083349999999999,26.535863829787232,58.42077777777778,0.3846134615384615,2.75,3.75,1.743,2020
T51,"Van Rooyen, Erik",1,-4.0,-0.459,0.331,-0.275,0.682,0.738,0.279,292.35,0.5178575,0.6388875,31.279064285714288,79.24126,0.5357167857142857,4.25,3.75,0.407,2020
T51,"Long, Adam",1,-2.0,0.297,-0.051,0.392,-0.36,-0.018,0.279,288.5,0.4464275,0.5972225,32.20171777777777,52.5960875,0.6153817948717949,3.75,3.75,0.032,2020
T51,"Snedeker, Brandt",1,1.0,0.858,0.337,-0.706,-0.21,-0.579,0.279,282.25,0.6250025,0.51389,35.710149056603775,48.17889375,0.6285734285714286,2.5,2.75,-0.916,2020
T51,"Kitayama, Kurt",1,1.0,1.004,-0.447,-0.448,0.17,-0.725,0.279,299.3,0.375,0.5833325,36.05970238095238,54.17582727272727,0.575001,4.75,2.75,-0.279,2020
T51,"Luiten, Joost",1,-1.0,-0.107,0.078,-0.127,0.434,0.386,0.279,287.9,0.6607149999999999,0.6111125,35.78269636363636,46.205940000000005,0.6176488235294118,2.5,2.75,0.307,2020
T58,"Woodland, Gary",2,0.0,-0.424,0.346,-0.264,0.37,0.452,0.029,295.05,0.464285,0.6527775,34.6985,59.30748947368421,0.6764685294117647,2.5,3.5,0.106,2020
T58,"Hoge, Tom",2,0.0,1.186,-0.168,-1.03,0.041,-1.157,0.029,286.275,0.5535725,0.5555575,35.49607755102041,60.54675263157894,0.649999,1.75,2.75,-0.989,2020
T58,"Schwartzel, Charl",2,3.0,-0.221,0.222,0.408,-0.38,0.25,0.029,287.125,0.4464275,0.5972225,36.242938297872335,68.0460125,0.5757569696969697,3.5,4.75,0.028,2020
T58,"McCarthy, Denny",2,3.0,0.289,-0.576,0.294,0.021,-0.261,0.029,286.8,0.55357,0.5416675,35.942400000000006,45.4029,0.5405389189189189,2.75,3.75,0.316,2020
T58,"Hadwin, Adam",2,3.0,0.142,-0.221,-0.155,0.263,-0.114,0.029,290.4,0.5,0.5416675,32.33718867924529,72.90666666666667,0.6829304878048781,2.0,2.5,0.108,2020
T58,"Harman, Brian",2,2.0,-0.08,1.453,-0.888,-0.457,0.108,0.029,287.85,0.5357149999999999,0.51389,33.10034693877552,80.55807059,0.7948715384615385,1.25,2.75,-1.345,2020
T58,"Hughes, Mackenzie",2,2.0,0.386,0.638,-0.081,-0.915,-0.358,0.029,291.6,0.5,0.569445,33.89033617021277,59.68456499999999,0.7428574285714286,2.25,2.0,-0.996,2020
T58,"Streelman, Kevin",2,0.0,0.225,0.457,-0.172,-0.481,-0.196,0.029,291.4842105263158,0.4464275,0.5555575,38.244986274509806,53.81622222222222,0.6111097222222223,3.75,3.25,-0.653,2020
T66,"Sabbatini, Rory",3,0.0,0.074,0.04,0.512,-0.849,-0.295,-0.221,279.35,0.4821425,0.6250025,31.25145849056604,50.975575,0.6071435714285714,3.0,3.75,-0.336,2020
T66,"MacIntyre, Robert",3,-1.0,0.113,-0.322,-0.562,0.55,-0.334,-0.221,294.8,0.4107125,0.63889,34.40873777777777,66.28835000000001,0.5882373529411765,2.25,2.75,-0.013,2020
T66,"Grillo, Emiliano",3,3.0,-0.657,-0.458,0.455,0.439,0.435,-0.221,290.55,0.5535725,0.6388875,31.490118,55.65292857142857,0.5882370588235294,3.75,4.25,0.894,2020
T66,"Lowry, Shane",3,4.0,-0.276,-0.779,0.631,0.203,0.055,-0.221,288.75,0.4464275,0.63889,28.35022222222222,72.62958666666667,0.645161935,2.25,2.0,0.834,2020
T66,"Straka, Sepp",3,1.0,0.045,-1.049,-0.049,0.832,-0.266,-0.221,299.4,0.4821425,0.5833325,32.731961702127656,43.016770588235296,0.5128210256410256,3.75,4.25,0.783,2020
T71,"Mickelson, Phil",4,3.0,-0.525,0.557,-0.005,-0.499,0.053,-0.471,296.33508771929826,0.5178575,0.5833325,30.28833260869565,59.39589444444445,0.7222205555555555,2.75,2.5,-0.504,2020
T71,"Watson, Bubba",4,0.0,-1.017,-0.661,0.393,0.814,0.545,-0.471,296.6,0.4642874999999999,0.7083325,33.04469777777778,64.99112000000001,0.5357142857142857,2.5,3.75,1.207,2020
T71,"Lee, Danny",4,0.0,1.253,-0.513,-0.447,-0.765,-1.725,-0.471,289.88596491228066,0.30357,0.5555575,34.913383333333336,41.992978947368414,0.649999,2.25,2.75,-1.212,2020
T71,"Spieth, Jordan",4,-3.0,-0.55,0.145,0.031,-0.097,0.079,-0.471,295.9,0.392855,0.555555,32.91643333333333,53.60525652173913,0.5609756097560976,2.75,2.5,-0.067,2020
T75,"Reavie, Chez",6,0.0,-0.189,-0.384,0.191,-0.589,-0.783,-0.971,276.725,0.5892875,0.5555575,32.401754545454544,53.008775,0.5526305263157895,3.5,4.25,-0.398,2020
T75,"Poston, J.T.",6,0.0,-0.284,-0.046,-1.228,0.586,-0.687,-0.971,289.85,0.5714275,0.5,34.64991228070176,91.02775454545454,0.5714269047619047,2.5,4.25,-0.641,2020
T77,"Wallace, Matt",7,2.0,-0.95,-0.328,0.011,0.045,-0.272,-1.221,295.0736842105263,0.5,0.6527775,32.55005744680851,56.929,0.4722230555555556,1.75,3.25,0.056,2020
T77,"Herman, Jim",7,5.0,-0.43,0.16,-0.404,-0.546,-0.791,-1.221,284.15438596491225,0.60714,0.6111125,35.46268148148148,76.23276363636364,0.562499063,2.5,3.0,-0.951,2020
79,"Kang, Sung",10,3.0,-0.902,-0.431,-0.593,-0.044,-1.069,-1.971,288.8491228070176,0.5178575,0.583335,34.22759,58.49113125,0.6000005714285714,2.0,2.75,-0.638,2020
1,"Mickelson, Phil",-6,1.0,0.275,0.689,2.004,0.532,3.226,3.513,299.23859649122807,0.55357,0.63889,38.67509607843137,31.17736666666667,0.6000023333333333,5.25,3.25,2.536,2021
T2,"Oosthuizen, Louis",-4,1.0,0.257,1.253,1.646,-0.155,2.744,3.013,293.95,0.5178575,0.694445,29.483538461538465,47.34971333333333,0.7200016,3.75,2.5,1.491,2021
T2,"Koepka, Brooks",-4,2.0,0.161,0.264,1.951,0.625,2.84,3.013,301.675,0.5357149999999999,0.6666675,29.45040392156863,48.59785333333333,0.5517237931034482,4.5,4.25,2.576,2021
T4,"Casey, Paul",-2,-1.0,-0.331,0.202,2.034,0.596,2.832,2.513,296.54999999999995,0.5892850000000001,0.680555,36.967265454545455,57.95743636363637,0.6538465384615384,3.25,3.0,2.629,2021
T4,"Harrington, Padraig",-2,-3.0,-0.138,1.34,0.402,0.897,2.639,2.513,298.725,0.5714275,0.5694425,37.251136,43.261407142857145,0.6428538095238095,4.75,2.75,1.299,2021
T4,"Lowry, Shane",-2,-3.0,-0.282,0.874,0.331,1.579,2.783,2.513,302.8,0.69643,0.6388874999999999,41.419065,52.49732857142857,0.6842113157894737,4.25,4.25,1.909,2021
T4,"Higgs, Harry",-2,-2.0,0.645,1.366,0.251,0.238,1.856,2.513,302.4,0.4821425,0.5833325,44.04720681818182,41.81182173913044,0.8235294117647058,3.5,3.75,0.489,2021
T8,"Rahm, Jon",-1,-4.0,0.407,0.575,0.424,0.845,1.844,2.263,304.825,0.5535725,0.5972225,32.28011071428571,71.86466666666666,0.7575760606060606,3.0,2.75,1.268,2021
T8,"Ancer, Abraham",-1,-7.0,0.769,-0.086,0.652,0.915,1.482,2.263,293.775,0.8214275,0.61111,35.6372186440678,53.878522222222216,0.6285702857142856,4.5,2.75,1.568,2021
T8,"Fowler, Rickie",-1,-1.0,1.095,0.543,1.119,-0.507,1.156,2.263,286.41052631578947,0.6071425,0.5972200000000001,34.11754339622642,65.3292153846154,0.7714285714285714,2.5,2.5,0.612,2021
T8,"Scheffler, Scottie",-1,-2.0,1.156,0.0,0.4,0.695,1.095,2.263,297.85,0.5178575,0.5277775,34.81132083333333,55.90152631578947,0.6216237837837838,4.0,1.75,1.095,2021
T8,"Zalatoris, Will",-1,-2.0,-0.083,-0.708,2.043,0.998,2.334,2.263,297.1,0.6785725,0.6111125000000001,32.76010701754386,71.1637111111111,0.6363657575757575,4.25,3.0,3.041,2021
T8,"Finau, Tony",-1,-1.0,0.109,1.573,0.312,0.257,2.142,2.263,296.975,0.57143,0.61111,39.8545085106383,39.46376,0.657144,4.25,3.5,0.569,2021
T8,"Rose, Justin",-1,-5.0,2.932,-0.944,-0.453,0.717,-0.681,2.263,296.775,0.6964325,0.61111,33.364422,63.89286666666667,0.657142,4.0,2.75,0.264,2021
T8,"Morikawa, Collin",-1,-4.0,-0.568,-0.15,1.929,1.039,2.819,2.263,296.5,0.7500025,0.680555,31.13527068965517,57.80166666666666,0.4705885294117647,3.25,3.0,2.968,2021
T8,"Streelman, Kevin",-1,3.0,0.564,0.501,0.727,0.459,1.687,2.263,293.425,0.6785725,0.6111125,36.05962456140351,85.35702,0.5806432258064516,2.75,2.75,1.186,2021
T17,"Im, Sungjae",0,1.0,0.401,0.521,0.253,0.825,1.6,2.013,296.65,0.73214,0.583335,35.25960344827586,57.91765555555556,0.7058829411764707,4.0,4.0,1.078,2021
T17,"Conners, Corey",0,1.0,-0.067,-0.117,1.28,0.904,2.068,2.013,291.625,0.7321425,0.6666675,37.72344827586207,93.07366,0.5312509375,4.5,3.0,2.185,2021
T17,"Bradley, Keegan",0,0.0,-0.311,0.324,0.969,1.019,2.311,2.013,298.4,0.7142850000000001,0.6805575,35.614742105263154,38.4436,0.5483870967741935,3.25,3.25,1.988,2021
T17,"Reed, Patrick",0,-2.0,0.592,1.135,0.812,-0.539,1.409,2.013,295.225,0.607145,0.569445,40.2105649122807,53.36869,0.5882358823529412,3.25,2.5,0.274,2021
T17,"Wise, Aaron",0,-4.0,0.873,0.54,0.898,-0.311,1.128,2.013,294.1508771929824,0.5892875,0.5416675,38.430484,51.359925,0.5897430769230769,5.25,2.25,0.587,2021
T17,"Hoffman, Charley",0,0.0,-0.022,-0.349,2.042,0.329,2.023,2.013,300.625,0.6785749999999999,0.7083349999999999,35.61875294117647,38.90488461538462,0.5185166666666666,4.0,4.75,2.372,2021
T23,"Laird, Martin",1,0.0,-0.394,-0.815,2.918,0.041,2.145,1.763,289.45,0.7142850000000001,0.694445,31.47151896551724,39.80372857142857,0.4999999999999999,4.0,5.5,2.959,2021
T23,"Horschel, Billy",1,0.0,1.271,0.049,0.256,0.174,0.48,1.763,293.9578947368421,0.67857,0.6388874999999999,39.96842363636363,57.880853846153855,0.6000013333333333,2.5,3.0,0.43,2021
T23,"Matsuyama, Hideki",1,0.0,-0.832,0.338,1.612,0.632,2.583,1.763,295.775,0.625,0.6527775,35.27581886792453,42.1043,0.648648918918919,4.25,5.25,2.244,2021
T23,"Cantlay, Patrick",1,1.0,-0.572,-0.721,1.974,1.069,2.323,1.763,304.475,0.57143,0.6388875,36.11173529411765,42.59982,0.5142848571428571,4.0,3.75,3.043,2021
T23,"Fitzpatrick, Matt",1,1.0,0.325,0.594,0.215,0.617,1.425,1.763,294.875,0.6607149999999999,0.569445,43.26240566037736,56.72083750000001,0.5609751219512196,4.75,3.75,0.832,2021
T23,"Kim, Chan",1,-5.0,-0.015,0.316,1.054,0.396,1.766,1.763,302.57894736842104,0.5892875,0.63889,33.56825263157894,50.380091666666665,0.6153846153846154,5.5,4.25,1.45,2021
T23,"Scrivener, Jason",1,-3.0,1.515,0.055,-0.494,0.674,0.236,1.763,289.35,0.6785725,0.555555,39.85762,67.64464,0.6279081395348837,3.25,3.0,0.18,2021
T30,"Poulter, Ian",2,1.0,1.115,0.624,-0.23,-0.009,0.385,1.513,287.975,0.57143,0.5277775,40.30539259259259,68.51814999999999,0.675002,4.0,2.75,-0.239,2021
T30,"Jones, Matt",2,-4.0,1.226,1.07,-1.578,0.784,0.275,1.513,297.15,0.57143,0.47222,54.0382537037037,58.1499,0.6808476595744681,5.75,4.25,-0.794,2021
T30,"Cink, Stewart",2,-3.0,0.941,0.003,1.118,-0.561,0.56,1.513,297.55,0.5357149999999999,0.5416675,32.773543396226415,52.81648666666666,0.6774216129032258,4.0,4.5,0.557,2021
T30,"Hovland, Viktor",2,-1.0,0.556,0.45,0.555,-0.061,0.945,1.513,304.475,0.5357149999999999,0.5972225,29.10283076923077,61.25587333333334,0.6857145714285714,3.75,5.0,0.495,2021
T30,"Bezuidenhout, Christiaan",2,5.0,1.802,0.23,0.185,-0.716,-0.301,1.513,289.55,0.5714275,0.569445,39.27429607843138,64.85998,0.7179476923076924,3.0,3.0,-0.531,2021
T30,"Spieth, Jordan",2,2.0,-0.554,1.206,0.436,0.412,2.055,1.513,295.275,0.607145,0.5972225,44.01247647058824,40.11315625,0.6052626315789473,3.5,2.5,0.848,2021
T30,"Simpson, Webb",2,0.0,0.887,0.919,0.328,-0.632,0.614,1.513,290.575,0.607145,0.5833325,39.97762142857143,52.39263636363636,0.6666658333333333,3.0,3.75,-0.305,2021
T30,"Niemann, Joaquin",2,4.0,1.196,-0.909,0.476,0.738,0.305,1.513,307.29999999999995,0.5892850000000001,0.6805575,37.32591071428571,73.14223571428572,0.6000030000000001,4.5,4.25,1.214,2021
T38,"Woodland, Gary",3,5.0,0.148,0.159,1.526,-0.582,1.103,1.263,299.825,0.5,0.583335,36.17258148148148,85.5314875,0.6176458823529413,5.25,5.25,0.944,2021
T38,"DeChambeau, Bryson",3,5.0,-0.284,0.43,0.287,0.818,1.535,1.263,313.125,0.4821425,0.555555,36.06130869565217,43.86659130434783,0.5897438461538462,5.5,4.0,1.105,2021
T38,"Werenski, Richy",3,3.0,0.23,0.715,0.075,0.23,1.021,1.263,292.475,0.607145,0.569445,37.26640961538462,41.85850833333333,0.5945932432432433,3.5,2.75,0.305,2021
T38,"Grillo, Emiliano",3,-2.0,0.319,-0.886,1.888,-0.07,0.932,1.263,299.725,0.410715,0.63889,33.419308510638295,61.00932777777778,0.4999983333333333,3.5,4.25,1.817,2021
T38,"Hatton, Tyrrell",3,0.0,0.169,0.509,0.727,-0.155,1.082,1.263,299.125,0.5892850000000001,0.5416675,36.092496,55.347677777777776,0.692306923076923,4.5,4.5,0.572,2021
T38,"Grace, Branden",3,6.0,1.09,1.332,-0.939,-0.232,0.161,1.263,294.7631578947368,0.5178575,0.52778,37.28286875,55.50138823529412,0.650001,5.0,3.75,-1.171,2021
T44,"Day, Jason",4,-1.0,-0.276,0.587,-0.297,0.986,1.277,1.013,297.6140350877193,0.75,0.5694475,39.46150363636363,71.451775,0.5681818181818181,2.5,4.25,0.689,2021
T44,"Stricker, Steve",4,3.0,-0.593,0.371,0.93,0.292,1.594,1.013,282.45,0.7500025,0.5555575,36.99686896551725,49.50307,0.5897446153846153,3.0,3.5,1.223,2021
T44,"Gooch, Talor",4,1.0,-0.399,1.361,-0.072,0.11,1.4,1.013,291.725,0.5892875,0.5555575,39.80899583333333,73.522215,0.6499987500000001,3.25,4.0,0.038,2021
T44,"Van Tonder, Daniel",4,1.0,-1.833,0.865,1.379,0.591,2.834,1.013,295.1719298245614,0.6607175,0.680555,34.34454814814815,29.794020000000003,0.5161283870967741,3.0,4.0,1.969,2021
T44,"Cook, Ben",4,2.0,-0.206,0.006,0.863,0.337,1.207,1.013,302.3,0.6428575,0.5694425000000001,36.32746,68.41732941176471,0.5714271428571428,4.25,3.5,1.2,2021
T49,"McIlroy, Rory",5,0.0,-0.736,0.345,1.089,0.053,1.488,0.763,307.85,0.5535725,0.5972225,35.460274418604655,47.02733,0.4871805128205128,4.5,5.5,1.142,2021
T49,"Varner III, Harold",5,1.0,-0.944,1.004,0.551,0.14,1.695,0.763,297.225,0.6071425,0.569445,36.81378909090909,47.42167272727273,0.5641053846153846,3.5,4.5,0.691,2021
T49,"Horsfield, Sam",5,-1.0,0.276,0.387,-0.395,0.482,0.475,0.763,302.35,0.5357149999999999,0.5000025,40.01369803921568,43.44775,0.5744672340425532,4.75,3.25,0.087,2021
T49,"MacIntyre, Robert",5,1.0,-0.761,0.276,0.858,0.377,1.512,0.763,294.125,0.5892850000000001,0.6250025,38.55360784313726,57.28833529411765,0.5937515625,3.0,4.75,1.236,2021
T49,"An, Byeong Hun",5,-4.0,-0.142,0.969,-0.048,-0.028,0.893,0.763,302.125,0.5535725,0.48611,40.063372,63.88368823529412,0.6041660416666667,4.75,5.25,-0.076,2021
T49,"Kokrak, Jason",5,5.0,1.039,-0.259,0.544,-0.574,-0.288,0.763,302.04035087719296,0.55357,0.5833325,34.53824285714286,47.88513684210526,0.6486491891891892,4.5,5.0,-0.029,2021
T55,"Noren, Alex",6,3.0,-0.572,0.841,-0.341,0.572,1.073,0.513,295.675,0.7321425,0.555555,41.87675,52.970188888888885,0.6097580487804878,1.0,3.75,0.231,2021
T55,"Ortiz, Carlos",6,4.0,0.436,0.487,-0.303,-0.12,0.065,0.513,303.6,0.57143,0.5694475000000001,36.16289454545454,49.1497,0.65625125,4.5,6.25,-0.423,2021
T55,"Dahmen, Joel",6,5.0,-0.864,-0.459,1.38,0.443,1.365,0.513,290.1,0.6428575,0.5833325,35.208142592592594,40.71995,0.4864832432432433,3.5,5.25,1.823,2021
